k,silhouette,inertia
2,0.17126131707080663,603.5664145305808
3,0.17320343384538475,522.997597850477
4,0.1908478720298858,454.27058026109773
5,0.1671963256667422,415.68318881502313
6,0.16595137710584673,385.7022041391832
