user_id,mapped_model,age_group,gender,usage_type,style,performance,comfort,fuel_saving,cluster,pca_x,pca_y
UID1,ADV 160,teen,male,unknown,sporty,unknown,unknown,unknown,2,-0.6254462554217898,2.87752906390614
UID2,ADV 160,teen,male,daily,sporty,high,high,unknown,1,0.4041300231110575,-1.3523503917349813
UID3,ADV 160,adult,female,unknown,sporty,high,unknown,unknown,2,-0.18818182713374373,1.7901328585530365
UID4,N-MAX,adult,male,city,sporty,high,unknown,unknown,3,-0.9275098875182276,-0.18655911318383694
UID5,Forza 350,teen,male,unknown,unknown,unknown,unknown,unknown,3,-1.11038746010593,-1.0999290443838063
UID6,Forza 350,adult,male,long_distance,premium,high,high,unknown,3,-0.6341742008411706,-1.7159925382546262
UID7,Click 160,teen,female,unknown,unknown,unknown,unknown,unknown,2,-1.0055092291686714,0.8661601783332962
UID8,Click 160,young_adult,male,unknown,sporty,high,unknown,unknown,1,0.7590967283064274,-2.9862354855324655
UID9,Click 160,adult,male,city,sporty,unknown,unknown,unknown,2,-1.1220423665639485,0.8596647608444365
UID10,Click 160,young_adult,female,long_distance,sporty,high,unknown,true,2,-1.047807861847417,0.9496628329879703
UID11,Forza 350,teen,male,unknown,sporty,high,unknown,unknown,3,-0.3593324770236921,-1.2406486218816186
UID12,Wave 125i,adult,male,long_distance,premium,high,high,unknown,3,-0.5250564292950597,-0.7337204200802359
UID13,Grand Filano Hybrid,teen,male,unknown,unknown,unknown,high,unknown,1,1.6832375571445957,-1.8946956016135799
UID14,Grand Filano Hybrid,adult,female,city,premium,unknown,unknown,unknown,0,1.599978997749696,1.1965850961474938
UID15,Wave 125i,adult,female,unknown,beauty,unknown,unknown,unknown,1,1.7066251133212855,-1.3681428325342688
UID16,Wave 125i,adult,female,daily,unknown,unknown,high,unknown,1,1.3989540182046811,-1.5426278366490744
UID17,Forza 350,teen,male,unknown,sporty,high,unknown,unknown,3,-0.27336590644514736,-0.8950211528587747
UID18,Forza 350,young_adult,male,long_distance,unknown,unknown,unknown,unknown,3,-1.3216650977459024,-1.0112282024203547
UID19,Forza 350,teen,female,unknown,sporty,unknown,unknown,unknown,3,-1.3058583240988517,-1.2360247355199736
UID20,Forza 350,young_adult,male,long_distance,premium,high,high,unknown,3,-1.6660012134936213,-1.43460998770854
UID21,Forza 350,adult,male,delivery,premium,high,high,unknown,3,-1.231766687239655,-0.8930265461119216
UID22,Forza 350,adult,male,unknown,premium,high,high,unknown,3,-1.4560640511123424,-1.2599215210697825
UID23,Forza 350,adult,male,unknown,sporty,high,unknown,unknown,3,-1.3339401387028855,-0.9489967825880483
UID24,Giorno+,teen,female,unknown,beauty,unknown,unknown,unknown,0,2.3260498421597733,0.9861198516665546
UID25,Giorno+,young_adult,female,city,premium,high,high,unknown,0,1.693274536305645,1.7255988449062685
UID26,Giorno+,teen,male,unknown,premium,unknown,high,unknown,0,2.244918712084822,0.6232811227789649
UID27,Giorno+,teen,female,unknown,beauty,unknown,unknown,unknown,0,2.3268533408526237,0.9568166516552251
UID28,Giorno+,adult,male,daily,sporty,unknown,unknown,unknown,0,1.8174545913998585,0.10374266039759925
UID29,Giorno+,adult,female,daily,beauty,unknown,unknown,unknown,0,2.2124042537332196,0.35743620678743154
UID30,Giorno+,young_adult,male,daily,beauty,unknown,high,unknown,0,1.8917949356992476,1.592783172952918
UID31,Giorno+,adult,male,daily,beauty,unknown,high,unknown,0,2.2025341843404007,0.04426238917953092
UID32,Grand Filano Hybrid,teen,male,unknown,premium,unknown,unknown,true,0,0.6130267620935386,1.7394561270014004
UID33,Grand Filano Hybrid,adult,female,city,premium,high,unknown,true,0,1.3908482447339132,1.1269832184753676
UID34,Grand Filano Hybrid,teen,male,unknown,beauty,unknown,unknown,true,1,-0.1922471315505693,-1.5192380665226894
