k,silhouette,inertia
2,0.17644924279103497,277.8913270637409
3,0.1689885433505738,247.1859643734644
4,0.18559626985012442,219.4989898989899
5,0.18931803463173885,199.71333333333334
6,0.19720615226151617,182.52774725274728
