k,silhouette,inertia
2,0.1729767737064921,245.1359910447761
3,0.1731130480241805,223.25316672413794
4,0.14116488877077504,205.33586648394243
5,0.10047084676830403,193.47567937062936
6,0.1118172345079839,185.82861883838387
7,0.12394011834341073,177.29539
8,0.10212794317097068,170.93406088023087
