cluster,usage_fit_city,usage_fit_daily,usage_fit_delivery,usage_fit_family,usage_fit_long_distance,usage_fit_rough_road,usage_fit_shopping,usage_fit_storage_heavy,usage_fit_trip,usage_fit_work,style_adventure,style_beauty,style_classic,style_compact,style_cute,style_modern,style_premium,style_sporty,budget_level_score,performance_score,comfort_score,safety_level_score,technology_level_score,easy_to_ride_flag,fuel_saving_flag,storage_need_flag,maintenance_easy_flag,pca_x,pca_y
0,0.23076923076923078,0.6923076923076923,0.0,0.4615384615384616,0.0,0.0,0.8461538461538463,0.07692307692307691,0.0,0.7692307692307694,0.0,0.6153846153846153,0.0769230769230769,2.7755575615628914e-17,0.15384615384615385,0.15384615384615383,0.07692307692307693,0.15384615384615383,0.2030769230769231,0.35846153846153844,0.4338461538461539,0.0,0.25384615384615383,0.23076923076923078,0.38461538461538464,0.3076923076923077,0.6153846153846154,0.6412714243320207,-0.7067937421323977
1,0.15,0.25,0.05000000000000003,4.163336342344337e-17,0.2,0.05,0.0,0.04999999999999998,0.20000000000000007,-4.163336342344337e-17,0.050000000000000044,0.7,0.04999999999999999,0.15000000000000002,2.7755575615628914e-17,0.4999999999999999,0.30000000000000004,0.6,0.049500000000000016,0.85,0.549,0.3829999999999999,0.648,0.35,0.10000000000000003,0.30000000000000004,0.45,0.7163381554404945,0.560160646343657
2,0.08620689655172413,0.10344827586206891,5.204170427930421e-18,0.034482758620689634,0.03448275862068967,0.03448275862068966,0.017241379310344654,1.0408340855860843e-17,2.0816681711721685e-17,1.1102230246251565e-16,5.204170427930421e-18,0.5344827586206896,0.05172413793103447,0.17241379310344832,0.22413793103448276,0.0689655172413793,-2.7755575615628914e-17,0.12068965517241376,0.12517241379310345,0.2124137931034483,0.2575862068965517,0.034482758620689655,0.16517241379310343,0.22413793103448276,0.12068965517241384,0.05172413793103442,0.103448275862069,-0.3907464073297615,-0.03473955653710312
