cluster,n_users,top_models,item_ids
0,13,"Wave 125i, Giorno+, PCX 160","I001,I004,I005,I007,I009"
1,20,"Forza 350, N-MAX, PCX 160","I001,I002,I003,I005,I006,I007,I009"
2,58,"N-MAX, Forza 350, Grand Filano Hybrid","I001,I002,I003,I004,I005,I006,I007,I008,I009"
