method,hit_at_1,hit_at_3,mrr,mean_rank
NCF + Negative Sampling,0.8351648351648352,0.8791208791208791,0.874385138670853,1.7142857142857142
Item-Based Feature Fit,0.15384615384615385,0.5164835164835165,0.3817591139019711,4.087912087912088
User-Based Proxy Similarity,0.03296703296703297,0.5164835164835165,0.3322736787022501,4.21978021978022
Popularity Baseline,0.18681318681318682,0.4945054945054945,0.41182626896912616,3.868131868131868
